_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
1348,St. Jude's Academy,883829,Offers credits toward the Ontario Secondary School Diploma (OSSD),"Aaron Sawatsky, Ben Milburn",,,2150 Torquay Mews,Mississauga,Ontario,L5N2M6,905-814-0202,905-814-0299,Central Region,info@stjudesacademy.ca,www.stjudesacademy.com,Elem/Sec,Not applicable,Site based only,No Association Membership
1349,St. Jude's School Inc,667690,,Cherylynne McKee,,,888 Trillium Drive,Kitchener,Ontario,N2R1K4,519-888-6620,519-884-0316,West Region,director@stjudes.com,www.stjudes.com,Elementary,Not applicable,Site based only,No Association Membership
1350,St. Laurent Academy,885799,Offers credits toward the Ontario Secondary School Diploma (OSSD),Colleen Long,,,50 Maple Lane,Ottawa,Ontario,K1M1G8,613-842-8047,613-842-9956,East Region,admin@st-laurentacademy.com,www.st-laurentacademy.com,Elem/Sec,All Year Round,Site based only,No Association Membership
1351,"St. Lawrence Academy, The",668619,,Sandra Nandoo,,1673,560 Edward Street South,Prescott,Ontario,K0E1T0,613-925-5600,613-925-0775,East Region,office@stlawrenceacademy.ca,http://www.stlawrenceacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
1352,St. Mary Secondary School,665688,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheileen Krone,101,,2450 Victoria Park Avenue,North York,Ontario,M2J4A2,905-597-5889,,Central Region,info.stmary.ss@gmail.com,https://www.stmaryss.ca/,Secondary,All Year Round,Online/Site Based,No Association Membership
1353,St. Thomas Community Christian Elem Sch,669373,,Katie Vergeer,,,77 Fairview Avenue,St Thomas,Ontario,N5R4X7,519-633-0690,,West Region,info@stthomaschristian.org,http://www.stthomaschristian,Elementary,Not applicable,Site based only,EDVance
1354,St. Thomas Community Christian School,886351,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jason Schouten,,,345 Fairview Ave,St Thomas,Ontario,N5R6M7,519-633-0690,519-633-0019,West Region,info@stthomaschristian.org,http://www.stthomaschristian.org,Elem/Sec,Not applicable,Site based only,Ontario Alliance of Christian Schools (OACS)
1355,St. Thomas of Villanova College School,878561,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rosalie Naworynski,,,2480 15th Sideroad,King City,Ontario,L7B0P5,905-833-1909,905-833-1915,Central Region,pjparadiso@villanovacollege.com,http://villanovacollege.org,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
1356,St. Timothy's Classical  Academy,667099,,Jennifer Small,Annex,,1061 Pinecrest Rd.,Ottawa,Ontario,K2B6B7,613-794-1750,,East Region,administrator@st-timothys.ca,www.st-timothys.ca,Elementary,Not applicable,Site based only,EDVance
1357,Stanford Academy,884819,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jessica Bowden,,,137 Queen St S,Kitchener,Ontario,N2G1W2,519-895-8866,519-895-8810,West Region,office@stanfordacademy.ca,www.stanfordacademy.ca,Secondary,All Year Round,Site based only,No Association Membership
1358,Stanford Online Academy,668603,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jessica Bowden,Room 201,,137 Queen St S,Kitchener,Ontario,N2G1W2,905-598-2199,,West Region,office@stanfordonlineacademy.ca,https://shop.stanfordonlineacademy.ca/,Secondary,All Year Round,Online Only,No Association Membership
1359,Star Academy,668877,,Julie Benneyworth,,,1400A South Sercice Road,Mississauga,Ontario,L5E1V5,905-891-1555,,Central Region,info@staracademy.ca,www.staracademy.ca,Elementary,Not applicable,Site based only,No Association Membership
1360,Stemlar Academy,665302,Offers credits toward the Ontario Secondary School Diploma (OSSD),Grace Gong,,,27 Peterman Street,Aurora,Ontario,M5V3R7,416-605-6902,,Central Region,c.erine91@gmail.com,www.stemlaracademy.com,Secondary,Not applicable,Online Only,No Association Membership
1361,"Sterling Hall School, The",884189,,Richard Parsons,,,99 Cartwright Ave,Toronto,Ontario,M6A1V4,416-785-3410,416-785-6616,Central Region,shardy@sterlinghall.com,http://www.sterlinghall.com,Elementary,Not applicable,Site based only,No Association Membership
1362,Stirling Montessori Academy Inc,669099,,Caley Ruzzier,,,200 Main Street East,Milton,Ontario,L9T1N8,905-864-6000,,Central Region,info@stirlingmontessori.com,www.stirlingmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
1363,Stirton Parochial School,883188,,Kendrick Weber,,,7939 Eighth Line,Drayton,Ontario,N0G1P0,519-731-3612,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1364,Stone Haven Parochial School,666142,,Adeline Weber,,,2146 Stone Road,Renfrew,Ontario,K7V3Z5,,,East Region,,,Elementary,Not applicable,Site based only,No Association Membership
1365,Stouffville Christian School,881554,,David Burns,,,3885 Stouffville Road,Stouffville,Ontario,L4A3X1,905-887-3330,905-887-3355,Central Region,info@stouffvillechristianschool.com,www.stouffvillechristianschool.com,Elementary,Not applicable,Site based only,Other
1366,Strata Montessori Adolescent School,884266,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tony Evans,,,575 Lions Club Road,Dundas,Ontario,L9G5E3,905-627-1073,289-494-0102,West Region,director@dvms.ca,,Elem/Sec,All Year Round,Site based only,Canadian Council of Montessori Administrators (CCMA)
1367,Stratford District Christian School,889695,,David Straatsma,,,190 Queensland Rd,Stratford,Ontario,N4Z0A3,519-271-0051,519-271-9108,West Region,sdcsoffice@sdcs.on.ca,www.sdcs.on.ca,Elementary,Not applicable,Site based only,EDVance
1368,Stratford Middle Years School,889120,,Flynn McLaughlin,,,35 WATERLOO ST,STRATFORD,Ontario,N5A5H6,519-301-2128,,West Region,smysprincipal@gmail.com,www.stratfordmiddleyears.com,Elementary,Not applicable,Site based only,No Association Membership
1369,Strathroy Community Christian,886459,,Alison Lise,,,7880 Walkers Dr,Strathroy,Ontario,N7G3H4,519-245-1934,519-245-4424,West Region,office@sccs.ca,http://www.sccs.ca/,Elementary,Not applicable,Site based only,EDVance
1370,Streetsville Academy Elementary School,878464,,Karandeep Kaur,50-52,,6535 Millcreek Dr,Mississauga,Ontario,L5N2M2,905-813-7318,905-813-8151,Central Region,Office@Sccacademy.com,http://www.sccacademy.com/,Elementary,Not applicable,Site based only,No Association Membership
1371,StudentScholars Private School,884885,,Lakmini Serasingha,2,,60 Riviera Drive,Markham,Ontario,L3R5M1,905-604-7740,,Central Region,info@studentscholarscentre.com,studentscholarscentre.com,Elementary,Not applicable,Online/Site Based,No Association Membership
1372,SuOn Academy,667183,Offers credits toward the Ontario Secondary School Diploma (OSSD),IAN BOTNICK,,,5 Queenslea Avenue,Toronto,Ontario,M9N3X9,416-255-8808,416-241-2043,Central Region,tracy.lu@suon.ca,www.suon.ca,Secondary,All Year Round,Site based only,No Association Membership
1373,SuOn Academy Queenslea,887855,Offers credits toward the Ontario Secondary School Diploma (OSSD),IAN BOTNICK,,,5 Queenslea Avenue,Toronto,Ontario,M9N3X9,416-255-8808,416-241-2043,Central Region,tracy.lu@suon.ca,www.suon.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
1374,Success Academy Canada,885808,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muhammad Hashir,,,27 Blue Haven Cresent,Toronto,Ontario,M9M1W6,416-740-1114,416-740-1115,Central Region,principal@successacademycanada.com,SUCCESSACADEMYCANADA.COM,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
1375,Sudbury Christian Academy,883310,,Luke Morse,,,1096 Dublin Street,Sudbury,Ontario,P3A1R6,705-522-1649,705-222-6318,North Region,reception@scacademy.ca,www.scacademy.ca,Elementary,Not applicable,Site based only,Other
1376,Suffah Academy of Learning,665668,,nazia hakim,,,100 Nipissing Road,Milton,Ontario,L9T5B2,,,Central Region,nazia.hakim@suffahacademy.ca,,Elementary,Not applicable,Site based only,No Association Membership
1377,Summit Micro School,665192,,Amanda Dervaitis,A,,291 Jane Street,Toronto,Ontario,M6S3Z3,416-645-7440,,Toronto Region,kristin@summitmicroschool.ca,www.summitmicroschool.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
1378,Sunny Summit,885658,,Elias Martin,,,540 Braniff Road 1,Bruce Mines,Ontario,P0R1C0,,,North Region,,,Elementary,Not applicable,nan,
1379,Sunnybrook,888150,,Teralee Brunn,,,469 Merton St,Toronto,Ontario,M4S1B4,416-487-5308,416-487-5381,Toronto Region,info@sunnybrookschool.ca,http://www.sunnybrookschool.com/,Elementary,Not applicable,Site based only,IB Schools of Ontario
1380,Sunnybrook Secondary School,668381,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kathleen D'Uva,,,45A West Wilmot Street,Richmond Hill,Ontario,L4B2P2,647-222-5257,,Central Region,info@sunnybrooksecondary.com,http://www.sunnybrooksecondaryschool.com,Secondary,Not applicable,Online/Site Based,No Association Membership
1381,Sunray Academy of Canada,883283,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sonia Gupta,Suite 200,,245 Yorkland Blvd,Toronto,Ontario,M2J4W9,226-218-7265,,Toronto Region,sonia.gupta@sunrayacademy.com,www.sunrayacademy.com,Secondary,All Year Round,Online Only,No Association Membership
1382,Sunrise Christian School,668864,,Allison Bartel,,,7892 PERTH ROAD 121,LISTOWEL,Ontario,N4W3G9,519-595-7434,,West Region,board@sunrisechristianschool.ca,,Elem/Sec,Not applicable,Site based only,Mennonite school community
1383,Sunrise Echo Parochial School,666886,,Charmaine Brubacher,,,5945 14th Line 3,Clifford,Ontario,N0G1M0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1384,Sunrise Montessori School,667501,,Grace Koo,,,180 Amber St,Markham,Ontario,L3R3L2,905-477-2833,905-477-2833,Central Region,office@sunrisemontessori.ca,,Elementary,Not applicable,Site based only,No Association Membership
1385,Sunshine Montessori School,884369,,Cynthia Bradshaw,,,10 Boniface Avenue,Kitchener,Ontario,N2C1L9,519-744-1423,519-744-9929,West Region,BradshawC@smsschool.ca,www.smsschool.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
1386,T.E.A.M. School,881864,,Lorraine McDonald,,,275 Rudar Rd,Mississauga,Ontario,L5A1S2,905-279-7200,905-279-1561,Central Region,info@teamschool.com,http://www.teamschool.com,Elementary,Not applicable,Site based only,No Association Membership
1387,TAIE International Institute,878510,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sara Mousavinasab,,,21 Mullen Drive,Vaughan,Ontario,L4J2T6,416-368-2882,416-955-0023,Toronto Region,info@taie.ca,www.taie.ca,Elem/Sec,All Year Round,Site based only,No Association Membership
1388,TBMS-Canada's International School,884892,,Hongying Zhang,410,,Goldhawk Trail,Toronto,Ontario,M1V4E7,416-551-9188,,East Region,tbms789@gmail.com,www.tbms789.com,Elementary,Not applicable,Online/Site Based,Independent and Private School Forum
1389,TFS,876313,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mastaneh Rezaei,204,,5635 Yonge St,Toronto,Ontario,M2M3S9,416-843-3387,416-850-1336,Central Region,info@torontofarsischool.com,www.tfshighschool.com,Secondary,All Year Round,Online/Site Based,No Association Membership
1390,TG Academy,884434,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muhammad Arslan Arif,62,,6733 Mississauga Rd,Mississauga,Ontario,L5N6J5,647-983-3062,,Central Region,arslanarif@tgacademy.ca,tgacademy.ca,Secondary,All Year Round,Online Only,No Association Membership
1391,THINNOX School,881756,Offers credits toward the Ontario Secondary School Diploma (OSSD),Keka Nag,,,755 Lakeshore Road East,Mississauga,Ontario,L5E1C6,416-809-3947,,Central Region,info@thinnox.com,www.thinnox.com,Secondary,Not applicable,Online/Site Based,No Association Membership
1392,TORONTO ISLAMIC ACADEMY,665638,,ABDUL LATIF MOHAMMED,,,3334 DANFORTH AVE.,SCARBOROUGH,Ontario,M1L1C6,647-710-2381,,East Region,,,Elementary,Not applicable,Site based only,Independent and Private School Forum
1393,TORONTO MAPLE LEAF ACADEMY INC.,669401,,Yusuf Ali TALUKDER,206,,3092 AVE DANFORTH AVE,SCARBOROUGH,Ontario,M1L1B1,416-520-9585,,East Region,yusuftalukder.tmlai@gmail.com,www.tmlai.ca,Elementary,Not applicable,Online/Site Based,No Association Membership
1394,Taddle Creek Montessori School,882025,,Katherine Szczechowicz,,,39 SPADINA RD,TORONTO,Ontario,M5R2S9,416-413-9493,,Toronto Region,taddlecreek@mildenhallmontessori.com,mildenhallmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
1395,Talenta Academy,885040,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sivam Mahalingam,2,,2020 Ellesmere Road,Scarborough,Ontario,M1H2Z8,416-396-3344,416-396-3343,East Region,admin@talentaacademy.ca,www.talentaacademy.ca,Secondary,All Year Round,Site based only,No Association Membership
1396,Tall Pines School,884081,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Murakami,,,8525 Torbram Road,Brampton,Ontario,L6T5K4,905-458-6770,,Central Region,info@tallpinesschool.com,http://www.tallpinesschool.com,Elem/Sec,Not applicable,Site based only,IB Schools of Ontario
1397,Tamarack West Outdoor School,666855,,Jay Field,103,,2480 Dundas Street West,Toronto,Ontario,M6P1W9,416-606-4584,,Toronto Region,info@tamarackwest.com,www.tamarackwest.com,Elementary,Not applicable,Site based only,No Association Membership
1398,Tamim Academy York Region,883894,,Michele Sankar,,,9600 Bathurst St.,Maple,Ontario,L6A3Z8,416-505-0480,905-886-0421,Central Region,chaim@tamimyr.org,tamimyr.org,Elementary,Not applicable,Site based only,Centre for Jewish Education
1399,TanenbaumCHAT Wallenberg Campus,887170,Offers credits toward the Ontario Secondary School Diploma (OSSD),Renee Cohen,,,200 Wilmington Ave,Toronto,Ontario,M3H5J8,416-636-5984,416-636-7717,Central Region,info@tanenbaumchat.org,http://www.tanenbaumchat.org,Secondary,Not applicable,Site based only,No Association Membership
1400,Tapply Binet College,666351,,Sue Davidson,,,245 Garner Rd W,Ancaster,Ontario,L9G3K9,905-648-2737,905-648-8762,West Region,tapplybinetcollege@cogeco.net,tapply.ca,Secondary,Not applicable,nan,
1401,Tarbiyah Elementary School,668379,,Yani Sauders,,,89 Ontario Street North,Milton,Ontario,L9T2T2,289-270-5306,,Central Region,admin@tarbiyah.ca,www.tarbiyah.ca,Elementary,Not applicable,Site based only,Other
1402,Tarbiyah Learning,669947,,Ghazala Choudhary,2,,3990 Old Richmond Rd Road,Nepean,Ontario,K2H8R5,613-421-1700,,East Region,ghazala.choudhary@tarbiyahlearning.ca,www.tarbiyahlearning.ca,Elementary,Not applicable,Site based only,Independent and Private School Forum
1403,Tayba Elementary School,669852,,Minnat-Allah Aboul-Ella,2,,435 King Street North,Waterloo,Ontario,N2J2Z5,519-781-6445,,West Region,admin@taybaelementaryschool.ca,www.taybaelementaryschool.ca,Elementary,Not applicable,Site based only,No Association Membership
1404,Terra Viva Montessori Bilingual,669149,,Andrea Lopez,,,92 Main Street,St. Catherines,Ontario,L2N4V2,289-990-1320,,West Region,terravivamontessori@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
1405,Thaler's Amish Parochial School,666688,,Rebecca Kuepfer,,,217 Concession 14 Brockton East 1,Chesley,Ontario,N0G1L0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
1406,The ACE Foundation & Bee Connected Academy,666578,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),"Edward Appiah-Gyasi, Laura Hammond",,,4030 Sheppard Avenue East,Scarborough,Ontario,M1S1S6,647-738-8674,,Toronto Region,stephanie.whyte@theacefoundation.ca,www.theacefoundation.ca,Elem/Sec,All Year Round,Site based only,No Association Membership
1407,The Ambassadors of God Academy,669489,,Prophet Joseph Eniolorunda,,,807 Arrow Road,North York,Ontario,M9M2L4,416-827-7570,,Central Region,ambassadors_on@yahoo.com,,Elementary,Not applicable,Site based only,No Association Membership
1408,The Autism Centre of Toronto,669006,,Carly Eby,,,2180 Bayview Ave,North York,Ontario,M4N3K7,416-544-8228,,Toronto Region,carly@autismtoronto.ca,www.autismtoronto.ca,Elementary,Not applicable,Site based only,No Association Membership
1409,The Boundless School,667064,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mary-Michelle Bolland,,,7513 River Road 1,Palmer Rapids,Ontario,K0J2E0,613-758-2702,613-758-2196,East Region,office@theboundlessschool.com,www.theboundlessschool.com,Secondary,Not applicable,Site based only,No Association Membership
1410,The Children's Nurtury,665756,,Navjot Dhami,,,10209 Bramalea Rd,Brampton,Ontario,L6R0C4,416-831-4495,,Central Region,director@thechildresnurtury.ca,www.thechildrensnurtury.ca,Elementary,Not applicable,Site based only,No Association Membership
1411,The Clover School,668055,,Tracy Durisin,,,3180 Bathurst Street,Toronto,Ontario,M6A2A9,416-781-4449,,Toronto Region,mtoffice@cloverschool.com,cloverschool.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
